Country,Year,GDP,GDP_Growth,GDP_per_Capita,Inflation,Unemployment,Population
Mauritius,2020,11408106446.3144,-14.5465381490166,9011.04288445023,2.57304044505899,8.626,1266014.0
Mozambique,2000,5930685214.61595,0.766234955773442,327.12623979157,11.6155528700327,2.833,18129653.0
Mozambique,2005,8868504899.94673,6.31202378023193,436.773856167384,7.33104798268296,3.037,20304569.0
Mozambique,2010,11411894723.864,6.67972935662864,496.185839392659,7.64522798725267,3.261,22999235.0
Mozambique,2015,16208985769.615,7.3930936986377,610.563774706589,7.05995033545015,3.426,26547572.0
Mozambique,2020,14235420174.1884,-1.21952250011192,462.433876479921,3.17166106815796,3.921,30783688.0
Namibia,2000,3922232164.83175,3.49218336365178,2156.67590512714,11.2811266523565,20.3,1818647.0
Namibia,2005,7248374837.72056,2.52926265819022,3685.77299991587,5.59808158452238,22.107,1966582.0
Namibia,2010,11431412421.1316,6.03924947955858,5418.21633365814,3.72589849891101,22.12,2109811.0
Namibia,2015,11335161083.5061,4.26417453763675,4774.10650865775,3.86457435077661,20.808,2374300.0
Namibia,2020,10583748541.5258,-8.10140201443319,3878.58982993966,4.63153061468802,21.004,2728762.0
Niger,2000,2241753192.81158,-1.20847774100575,194.771959898935,3.17839370074471,1.431,11509630.0
Niger,2005,4383315964.58718,7.33186884258517,318.643121918273,8.58488444144687,3.1,13756192.0
Niger,2010,7851192502.30917,8.57816674262253,474.425692340831,3.47504301438173,0.722,16548835.0
Niger,2015,9683867926.44282,4.39264883207291,485.662574175279,2.249426436212,0.553,19939498.0
Niger,2020,13744653103.058,3.55064109436891,579.512495758236,1.16297974177712,0.594,23717613.0
Nigeria,2000,69171451627.2465,5.01593475931159,547.318298903379,22.6737374008784,3.963,126382494.0
Nigeria,2005,175670569969.346,6.43851652538319,1211.37703504386,19.8584947707524,3.734,145017253.0
Nigeria,2010,366990417129.04,8.00565591628646,2202.25672957344,16.342766325307,3.746,166642886.0
Nigeria,2015,493026682800.63,2.65269329543003,2585.73360671797,2.86366512298943,4.135,190671878.0
